# stage binsel: 32 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	op	+	-	*	/	%	<	>	<=	>=	==	!=	&	|	^	<<	>>
#field	sign	s	u
#head	y	-	add	sub	mul	div	mod	lt	gt	le	ge	eq	ne	and	or	xor	shl	shr	udiv	umod	ult	ugt	ule	uge	lshr
op	sign	=> y
+	s	add
+	u	add
-	s	sub
-	u	sub
*	s	mul
*	u	mul
/	s	div
/	u	udiv
%	s	mod
%	u	umod
<	s	lt
<	u	ult
>	s	gt
>	u	ugt
<=	s	le
<=	u	ule
>=	s	ge
>=	u	uge
==	s	eq
==	u	eq
!=	s	ne
!=	u	ne
&	s	and
&	u	and
|	s	or
|	u	or
^	s	xor
^	u	xor
<<	s	shl
<<	u	shl
>>	s	shr
>>	u	lshr
