# stage combo: 438 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
op	os	arch	=> form	=> symbol	=> sysno	=> arg0	=> arg1	=> arg2	=> arg3	=> arg4	=> arg5	=> ret	=> gate	=> nrreg	=> argshape	=> retconv	=> winimp
exit	lnx	x86_64	syscall	exit	60	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
exit	lnx	arm64	svc	exit	93	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
exit	osx	x86_64	syscall	exit	0x2000001	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
exit	osx	arm64	svc	exit	0x2000001	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
exit	win	x86_64	winapi	exit	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	ExitProcess
exit	win	arm64	winapi	exit	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	ExitProcess
read	lnx	x86_64	syscall	read	0	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
read	lnx	arm64	svc	read	63	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
read	osx	x86_64	syscall	read	0x2000003	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
read	osx	arm64	svc	read	0x2000003	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
read	win	x86_64	winapi	read	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	wcount	ReadFile
read	win	arm64	winapi	read	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	wcount	ReadFile
write	lnx	x86_64	syscall	write	1	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
write	lnx	arm64	svc	write	64	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
write	osx	x86_64	syscall	write	0x2000004	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
write	osx	arm64	svc	write	0x2000004	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
write	win	x86_64	winapi	write	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	wcount	WriteFile
write	win	arm64	winapi	write	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	wcount	WriteFile
open	lnx	x86_64	syscall	open	2	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
open	lnx	arm64	svc	open	56	x0	x1	x2	x3	x4	x5	x0	svc0	x8	atfd_1	none	none
open	osx	x86_64	syscall	open	0x2000005	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
open	osx	arm64	svc	open	0x2000005	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
open	win	x86_64	winapi	open	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	CreateFileA
open	win	arm64	winapi	open	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	CreateFileA
close	lnx	x86_64	syscall	close	3	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
close	lnx	arm64	svc	close	57	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
close	osx	x86_64	syscall	close	0x2000006	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
close	osx	arm64	svc	close	0x2000006	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
close	win	x86_64	winapi	close	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	CloseHandle
close	win	arm64	winapi	close	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	CloseHandle
mmap	lnx	x86_64	syscall	mmap	9	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
mmap	lnx	arm64	svc	mmap	222	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
mmap	osx	x86_64	syscall	mmap	0x20000c5	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
mmap	osx	arm64	svc	mmap	0x20000c5	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
mmap	win	x86_64	winapi	mmap	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	VirtualAlloc
mmap	win	arm64	winapi	mmap	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	VirtualAlloc
munmap	lnx	x86_64	syscall	munmap	11	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
munmap	lnx	arm64	svc	munmap	215	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
munmap	osx	x86_64	syscall	munmap	0x2000049	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
munmap	osx	arm64	svc	munmap	0x2000049	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
munmap	win	x86_64	winapi	munmap	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	bool_inv	VirtualFree
munmap	win	arm64	winapi	munmap	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	bool_inv	VirtualFree
mprotect	lnx	x86_64	syscall	mprotect	10	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
mprotect	lnx	arm64	svc	mprotect	226	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
mprotect	osx	x86_64	syscall	mprotect	0x200004a	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
mprotect	osx	arm64	svc	mprotect	0x200004a	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
mprotect	win	x86_64	winapi	mprotect	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	bool_inv	VirtualProtect
mprotect	win	arm64	winapi	mprotect	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	bool_inv	VirtualProtect
getpid	lnx	x86_64	syscall	getpid	39	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
getpid	lnx	arm64	svc	getpid	172	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
getpid	osx	x86_64	syscall	getpid	0x2000014	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
getpid	osx	arm64	svc	getpid	0x2000014	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
getpid	win	x86_64	winapi	getpid	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
