# stage enc: 438 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	op	exit	read	write	open	close	mmap	munmap	mprotect	getpid	clock_gettime	nanosleep	futex	socket	connect	bind	listen	accept	clone	execve	lseek	unlink	rename	add64	sub64	xor64	mul64	slt64	sle64	load64	store64	jump	jumpz	call	ret	nop	cas64	fence	syscall_gate	tls_base	cycle_counter	stack_enter	and64	or64	shl64	shr64	callr	ult64	ule64	lshr64	fadd64	fsub64	fmul64	fdiv64	flt64	fle64	feq64	fadd32	fsub32	fmul32	fdiv32	flt32	fle32	feq32	cvtid	cvtud	cvtis	cvtus	cvtdi	cvtdu	cvtsd	cvtds	fsqrt64	fsqrt32
#field	os	lnx	osx	win
#field	arch	x86_64	arm64
#head	y	-	syscall	svc	winapi	x86	arm
op	os	arch	=> y
exit	lnx	x86_64	syscall
exit	lnx	arm64	svc
exit	osx	x86_64	syscall
exit	osx	arm64	svc
exit	win	x86_64	winapi
exit	win	arm64	winapi
read	lnx	x86_64	syscall
read	lnx	arm64	svc
read	osx	x86_64	syscall
read	osx	arm64	svc
read	win	x86_64	winapi
read	win	arm64	winapi
write	lnx	x86_64	syscall
write	lnx	arm64	svc
write	osx	x86_64	syscall
write	osx	arm64	svc
write	win	x86_64	winapi
write	win	arm64	winapi
open	lnx	x86_64	syscall
open	lnx	arm64	svc
open	osx	x86_64	syscall
open	osx	arm64	svc
open	win	x86_64	winapi
open	win	arm64	winapi
close	lnx	x86_64	syscall
close	lnx	arm64	svc
close	osx	x86_64	syscall
close	osx	arm64	svc
close	win	x86_64	winapi
close	win	arm64	winapi
mmap	lnx	x86_64	syscall
mmap	lnx	arm64	svc
mmap	osx	x86_64	syscall
mmap	osx	arm64	svc
mmap	win	x86_64	winapi
mmap	win	arm64	winapi
munmap	lnx	x86_64	syscall
munmap	lnx	arm64	svc
munmap	osx	x86_64	syscall
munmap	osx	arm64	svc
munmap	win	x86_64	winapi
munmap	win	arm64	winapi
mprotect	lnx	x86_64	syscall
mprotect	lnx	arm64	svc
mprotect	osx	x86_64	syscall
mprotect	osx	arm64	svc
mprotect	win	x86_64	winapi
mprotect	win	arm64	winapi
getpid	lnx	x86_64	syscall
getpid	lnx	arm64	svc
getpid	osx	x86_64	syscall
getpid	osx	arm64	svc
getpid	win	x86_64	winapi
getpid	win	arm64	winapi
clock_gettime	lnx	x86_64	syscall
clock_gettime	lnx	arm64	svc
clock_gettime	osx	x86_64	syscall
clock_gettime	osx	arm64	svc
clock_gettime	win	x86_64	winapi
clock_gettime	win	arm64	winapi
nanosleep	lnx	x86_64	syscall
nanosleep	lnx	arm64	svc
nanosleep	osx	x86_64	syscall
nanosleep	osx	arm64	svc
nanosleep	win	x86_64	winapi
nanosleep	win	arm64	winapi
futex	lnx	x86_64	syscall
futex	lnx	arm64	svc
futex	osx	x86_64	syscall
futex	osx	arm64	svc
futex	win	x86_64	winapi
futex	win	arm64	winapi
socket	lnx	x86_64	syscall
socket	lnx	arm64	svc
socket	osx	x86_64	syscall
socket	osx	arm64	svc
socket	win	x86_64	winapi
socket	win	arm64	winapi
connect	lnx	x86_64	syscall
connect	lnx	arm64	svc
connect	osx	x86_64	syscall
connect	osx	arm64	svc
connect	win	x86_64	winapi
connect	win	arm64	winapi
bind	lnx	x86_64	syscall
bind	lnx	arm64	svc
bind	osx	x86_64	syscall
bind	osx	arm64	svc
bind	win	x86_64	winapi
bind	win	arm64	winapi
listen	lnx	x86_64	syscall
listen	lnx	arm64	svc
listen	osx	x86_64	syscall
listen	osx	arm64	svc
listen	win	x86_64	winapi
listen	win	arm64	winapi
accept	lnx	x86_64	syscall
accept	lnx	arm64	svc
accept	osx	x86_64	syscall
accept	osx	arm64	svc
accept	win	x86_64	winapi
accept	win	arm64	winapi
clone	lnx	x86_64	syscall
clone	lnx	arm64	svc
clone	osx	x86_64	syscall
clone	osx	arm64	svc
clone	win	x86_64	winapi
clone	win	arm64	winapi
execve	lnx	x86_64	syscall
execve	lnx	arm64	svc
execve	osx	x86_64	syscall
execve	osx	arm64	svc
execve	win	x86_64	winapi
execve	win	arm64	winapi
lseek	lnx	x86_64	syscall
lseek	lnx	arm64	svc
lseek	osx	x86_64	syscall
lseek	osx	arm64	svc
lseek	win	x86_64	winapi
lseek	win	arm64	winapi
unlink	lnx	x86_64	syscall
unlink	lnx	arm64	svc
unlink	osx	x86_64	syscall
unlink	osx	arm64	svc
unlink	win	x86_64	winapi
unlink	win	arm64	winapi
rename	lnx	x86_64	syscall
rename	lnx	arm64	svc
rename	osx	x86_64	syscall
rename	osx	arm64	svc
rename	win	x86_64	winapi
rename	win	arm64	winapi
add64	lnx	x86_64	x86
add64	lnx	arm64	arm
add64	osx	x86_64	x86
add64	osx	arm64	arm
add64	win	x86_64	x86
add64	win	arm64	arm
sub64	lnx	x86_64	x86
sub64	lnx	arm64	arm
sub64	osx	x86_64	x86
sub64	osx	arm64	arm
sub64	win	x86_64	x86
sub64	win	arm64	arm
xor64	lnx	x86_64	x86
xor64	lnx	arm64	arm
xor64	osx	x86_64	x86
xor64	osx	arm64	arm
xor64	win	x86_64	x86
xor64	win	arm64	arm
mul64	lnx	x86_64	x86
mul64	lnx	arm64	arm
mul64	osx	x86_64	x86
mul64	osx	arm64	arm
mul64	win	x86_64	x86
mul64	win	arm64	arm
slt64	lnx	x86_64	x86
slt64	lnx	arm64	arm
slt64	osx	x86_64	x86
slt64	osx	arm64	arm
slt64	win	x86_64	x86
slt64	win	arm64	arm
sle64	lnx	x86_64	x86
sle64	lnx	arm64	arm
sle64	osx	x86_64	x86
sle64	osx	arm64	arm
sle64	win	x86_64	x86
sle64	win	arm64	arm
load64	lnx	x86_64	x86
load64	lnx	arm64	arm
load64	osx	x86_64	x86
load64	osx	arm64	arm
load64	win	x86_64	x86
load64	win	arm64	arm
store64	lnx	x86_64	x86
store64	lnx	arm64	arm
