# stage irsel: 420 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
family	flavor	=> y
alu	add	add64
alu	sub	sub64
alu	mul	mul64
alu	lt	slt64
alu	le	sle64
alu	gt	slt64_rev
alu	ge	sle64_rev
alu	eq	eq
alu	ne	ne
alu	neg	sub64
alu	and	and64
alu	or	or64
alu	xor	xor64
alu	shl	shl64
alu	shr	shr64
alu	ult	ult64
alu	ule	ule64
alu	ugt	ult64_rev
alu	uge	ule64_rev
alu	lshr	lshr64
alu	div	div
alu	mod	mod
alu	udiv	udiv
alu	umod	umod
alu	load	bad
alu	store	bad
alu	lea	bad
alu	ld	bad
alu	st	bad
alu	zero	bad
alu	jump	bad
alu	jumpz	bad
alu	ret	bad
alu	call	bad
alu	push	bad
alu	arg	bad
alu	frame	bad
alu	callr	bad
alu	imm	bad
alu	print	bad
alu	write	bad
alu	exit	bad
alu	dadd	bad
alu	dsub	bad
alu	dmul	bad
alu	ddiv	bad
alu	dlt	bad
alu	dle	bad
alu	deq	bad
alu	sadd	bad
alu	ssub	bad
alu	smul	bad
alu	sdiv	bad
alu	slt	bad
alu	sle	bad
alu	seq	bad
alu	i2d	bad
alu	u2d	bad
alu	i2s	bad
alu	u2s	bad
alu	d2i	bad
alu	d2u	bad
alu	s2d	bad
alu	d2s	bad
alu	dsqrt	bad
alu	ssqrt	bad
alu	dgt	bad
alu	dge	bad
alu	sgt	bad
alu	sge	bad
mem	add	bad
mem	sub	bad
mem	mul	bad
mem	lt	bad
mem	le	bad
mem	gt	bad
mem	ge	bad
mem	eq	bad
mem	ne	bad
mem	neg	bad
mem	and	bad
mem	or	bad
mem	xor	bad
mem	shl	bad
mem	shr	bad
mem	ult	bad
mem	ule	bad
mem	ugt	bad
mem	uge	bad
mem	lshr	bad
mem	div	bad
mem	mod	bad
mem	udiv	bad
mem	umod	bad
mem	load	load64
mem	store	store64
mem	lea	lea
mem	ld	ld
mem	st	st
mem	zero	zero
mem	jump	bad
mem	jumpz	bad
mem	ret	bad
mem	call	bad
mem	push	bad
mem	arg	bad
mem	frame	bad
mem	callr	bad
mem	imm	bad
mem	print	bad
mem	write	bad
mem	exit	bad
mem	dadd	bad
mem	dsub	bad
mem	dmul	bad
mem	ddiv	bad
mem	dlt	bad
mem	dle	bad
mem	deq	bad
mem	sadd	bad
mem	ssub	bad
mem	smul	bad
mem	sdiv	bad
mem	slt	bad
mem	sle	bad
mem	seq	bad
mem	i2d	bad
mem	u2d	bad
mem	i2s	bad
mem	u2s	bad
mem	d2i	bad
mem	d2u	bad
mem	s2d	bad
mem	d2s	bad
mem	dsqrt	bad
mem	ssqrt	bad
mem	dgt	bad
mem	dge	bad
mem	sgt	bad
mem	sge	bad
ctrl	add	bad
ctrl	sub	bad
ctrl	mul	bad
ctrl	lt	bad
ctrl	le	bad
ctrl	gt	bad
ctrl	ge	bad
ctrl	eq	bad
ctrl	ne	bad
ctrl	neg	bad
ctrl	and	bad
ctrl	or	bad
ctrl	xor	bad
ctrl	shl	bad
ctrl	shr	bad
ctrl	ult	bad
ctrl	ule	bad
ctrl	ugt	bad
ctrl	uge	bad
ctrl	lshr	bad
ctrl	div	bad
ctrl	mod	bad
ctrl	udiv	bad
ctrl	umod	bad
ctrl	load	bad
ctrl	store	bad
ctrl	lea	bad
ctrl	ld	bad
ctrl	st	bad
ctrl	zero	bad
ctrl	jump	jump
ctrl	jumpz	jumpz
ctrl	ret	ret
ctrl	call	bad
ctrl	push	bad
ctrl	arg	bad
ctrl	frame	bad
ctrl	callr	bad
ctrl	imm	bad
ctrl	print	bad
ctrl	write	bad
ctrl	exit	bad
ctrl	dadd	bad
ctrl	dsub	bad
ctrl	dmul	bad
ctrl	ddiv	bad
ctrl	dlt	bad
ctrl	dle	bad
ctrl	deq	bad
ctrl	sadd	bad
ctrl	ssub	bad
ctrl	smul	bad
ctrl	sdiv	bad
ctrl	slt	bad
ctrl	sle	bad
ctrl	seq	bad
ctrl	i2d	bad
ctrl	u2d	bad
ctrl	i2s	bad
ctrl	u2s	bad
ctrl	d2i	bad
ctrl	d2u	bad
ctrl	s2d	bad
ctrl	d2s	bad
ctrl	dsqrt	bad
ctrl	ssqrt	bad
ctrl	dgt	bad
ctrl	dge	bad
ctrl	sgt	bad
ctrl	sge	bad
call	add	bad
call	sub	bad
call	mul	bad
call	lt	bad
call	le	bad
call	gt	bad
call	ge	bad
call	eq	bad
call	ne	bad
call	neg	bad
call	and	bad
call	or	bad
call	xor	bad
call	shl	bad
call	shr	bad
call	ult	bad
call	ule	bad
call	ugt	bad
call	uge	bad
call	lshr	bad
call	div	bad
call	mod	bad
call	udiv	bad
call	umod	bad
call	load	bad
call	store	bad
call	lea	bad
call	ld	bad
call	st	bad
call	zero	bad
call	jump	bad
call	jumpz	bad
call	ret	bad
call	call	call
call	push	callpush
call	arg	arg
call	frame	frame
call	callr	callr
call	imm	bad
call	print	bad
call	write	bad
call	exit	bad
call	dadd	bad
call	dsub	bad
call	dmul	bad
call	ddiv	bad
call	dlt	bad
call	dle	bad
call	deq	bad
call	sadd	bad
call	ssub	bad
call	smul	bad
call	sdiv	bad
call	slt	bad
call	sle	bad
call	seq	bad
call	i2d	bad
call	u2d	bad
call	i2s	bad
call	u2s	bad
call	d2i	bad
call	d2u	bad
call	s2d	bad
call	d2s	bad
call	dsqrt	bad
call	ssqrt	bad
call	dgt	bad
call	dge	bad
call	sgt	bad
call	sge	bad
lit	add	bad
lit	sub	bad
lit	mul	bad
lit	lt	bad
lit	le	bad
