# stage isel: 146 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	op	exit	read	write	open	close	mmap	munmap	mprotect	getpid	clock_gettime	nanosleep	futex	socket	connect	bind	listen	accept	clone	execve	lseek	unlink	rename	add64	sub64	xor64	mul64	slt64	sle64	load64	store64	jump	jumpz	call	ret	nop	cas64	fence	syscall_gate	tls_base	cycle_counter	stack_enter	and64	or64	shl64	shr64	callr	ult64	ule64	lshr64	fadd64	fsub64	fmul64	fdiv64	flt64	fle64	feq64	fadd32	fsub32	fmul32	fdiv32	flt32	fle32	feq32	cvtid	cvtud	cvtis	cvtus	cvtdi	cvtdu	cvtsd	cvtds	fsqrt64	fsqrt32
#field	arch	x86_64	arm64
#head	form	-	syscall	svc	winapi	x86	arm
#head	symbol	-	accept	add	addsd	addss	and	asr	b	bind	bl	blr	call	casal	cbz	clock_gettime	clone	close	cmpxchg	connect	cset	cvtsd2ss	cvtsi2sd	cvtsi2ss	cvtss2sd	cvttsd2si	divsd	divss	dmb	eor	execve	exit	fadd	fcmp	fcvt	fcvtzs	fcvtzu	fdiv	fmul	fsqrt	fsub	futex	getpid	imul	jmp	jz	ldr	listen	lseek	lsl	lsr	mfence	mmap	mov	mprotect	mrs	mul	mulsd	mulss	munmap	nanosleep	none	nop	open	or	orr	push	rdfsbase	rdtsc	read	rename	ret	sar	scvtf	setb	setbe	setl	setle	shl	shr	socket	sqrtsd	sqrtss	stp	str	sub	subsd	subss	svc	syscall	ucomisd	ucomiss	ucvtf	unlink	write	xor
op	arch	=> form	=> symbol
exit	x86_64	syscall	exit
exit	arm64	svc	exit
read	x86_64	syscall	read
read	arm64	svc	read
write	x86_64	syscall	write
write	arm64	svc	write
open	x86_64	syscall	open
open	arm64	svc	open
close	x86_64	syscall	close
close	arm64	svc	close
mmap	x86_64	syscall	mmap
mmap	arm64	svc	mmap
munmap	x86_64	syscall	munmap
munmap	arm64	svc	munmap
mprotect	x86_64	syscall	mprotect
mprotect	arm64	svc	mprotect
getpid	x86_64	syscall	getpid
getpid	arm64	svc	getpid
clock_gettime	x86_64	syscall	clock_gettime
clock_gettime	arm64	svc	clock_gettime
nanosleep	x86_64	syscall	nanosleep
nanosleep	arm64	svc	nanosleep
futex	x86_64	syscall	futex
futex	arm64	svc	futex
socket	x86_64	syscall	socket
socket	arm64	svc	socket
connect	x86_64	syscall	connect
connect	arm64	svc	connect
bind	x86_64	syscall	bind
bind	arm64	svc	bind
listen	x86_64	syscall	listen
listen	arm64	svc	listen
accept	x86_64	syscall	accept
accept	arm64	svc	accept
clone	x86_64	syscall	clone
clone	arm64	svc	clone
execve	x86_64	syscall	execve
execve	arm64	svc	execve
lseek	x86_64	syscall	lseek
lseek	arm64	svc	lseek
unlink	x86_64	syscall	unlink
unlink	arm64	svc	unlink
rename	x86_64	syscall	rename
rename	arm64	svc	rename
add64	x86_64	x86	add
add64	arm64	arm	add
sub64	x86_64	x86	sub
sub64	arm64	arm	sub
xor64	x86_64	x86	xor
xor64	arm64	arm	eor
mul64	x86_64	x86	imul
mul64	arm64	arm	mul
slt64	x86_64	x86	setl
