# stage lex: 144 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
c	peek	=> y
ws	ws	skip
ws	nl	skip
ws	A	skip
ws	d	skip
ws	q	skip
ws	sq	skip
ws	slash	skip
ws	star	skip
ws	punct	skip
ws	eof	skip
ws	other	skip
ws	dot	skip
nl	ws	nl
nl	nl	nl
nl	A	nl
nl	d	nl
nl	q	nl
nl	sq	nl
nl	slash	nl
nl	star	nl
nl	punct	nl
nl	eof	nl
nl	other	nl
nl	dot	nl
A	ws	ident
A	nl	ident
A	A	ident
A	d	ident
A	q	ident
A	sq	ident
A	slash	ident
A	star	ident
A	punct	ident
A	eof	ident
A	other	ident
A	dot	ident
d	ws	num
d	nl	num
d	A	num
d	d	num
d	q	num
d	sq	num
d	slash	num
d	star	num
d	punct	num
d	eof	num
d	other	num
d	dot	num
q	ws	str
q	nl	str
q	A	str
q	d	str
q	q	str
q	sq	str
q	slash	str
q	star	str
q	punct	str
q	eof	str
q	other	str
q	dot	str
sq	ws	charlit
sq	nl	charlit
sq	A	charlit
sq	d	charlit
sq	q	charlit
sq	sq	charlit
sq	slash	charlit
sq	star	charlit
sq	punct	charlit
sq	eof	charlit
sq	other	charlit
sq	dot	charlit
slash	ws	op
slash	nl	op
slash	A	op
slash	d	op
slash	q	op
slash	sq	op
slash	slash	linecmt
slash	star	cmt
slash	punct	op
slash	eof	op
slash	other	op
slash	dot	op
star	ws	op
star	nl	op
star	A	op
star	d	op
star	q	op
star	sq	op
star	slash	op
star	star	op
star	punct	op
star	eof	op
star	other	op
star	dot	op
punct	ws	op
punct	nl	op
punct	A	op
punct	d	op
punct	q	op
punct	sq	op
punct	slash	op
punct	star	op
punct	punct	op
punct	eof	op
punct	other	op
punct	dot	op
eof	ws	skip
eof	nl	skip
eof	A	skip
eof	d	skip
eof	q	skip
eof	sq	skip
eof	slash	skip
eof	star	skip
eof	punct	skip
eof	eof	skip
eof	other	skip
eof	dot	skip
other	ws	bad
other	nl	bad
other	A	bad
other	d	bad
other	q	bad
other	sq	bad
other	slash	bad
other	star	bad
other	punct	bad
other	eof	bad
other	other	bad
other	dot	bad
dot	ws	op
dot	nl	op
dot	A	op
dot	d	num
dot	q	op
dot	sq	op
dot	slash	op
dot	star	op
dot	punct	op
dot	eof	op
dot	other	op
dot	dot	op
