# stage lexcls: 257 keys, DECLARED here (not exported by gold-export): the lexer's byte -> class split (src/front_pp.c charclass), and which bytes the __attribute__/__asm__ look-ahead skips as white space. Read by exec/lex/gen.py, which asserts agreement with src/front_pp.c and weights/gold/lex.tsv. [E1]
#field	b	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	eof
#head	c	-	ws	nl	A	d	q	sq	slash	star	punct	eof	other	dot
#head	attws	-	no	yes
b	=> c	=> attws
0	other	no
1	other	no
2	other	no
3	other	no
4	other	no
5	other	no
6	other	no
7	other	no
8	other	no
9	ws	yes
10	nl	yes
11	other	no
12	other	no
13	ws	yes
14	other	no
15	other	no
16	other	no
17	other	no
18	other	no
19	other	no
20	other	no
21	other	no
22	other	no
23	other	no
24	other	no
25	other	no
26	other	no
27	other	no
28	other	no
29	other	no
30	other	no
31	other	no
32	ws	yes
33	punct	no
34	q	no
35	other	no
36	other	no
37	punct	no
38	punct	no
39	sq	no
40	punct	no
41	punct	no
42	star	no
43	punct	no
44	punct	no
45	punct	no
46	dot	no
47	slash	no
48	d	no
49	d	no
50	d	no
51	d	no
52	d	no
53	d	no
54	d	no
55	d	no
56	d	no
57	d	no
58	punct	no
59	punct	no
60	punct	no
61	punct	no
62	punct	no
63	punct	no
64	other	no
65	A	no
66	A	no
67	A	no
68	A	no
69	A	no
70	A	no
71	A	no
72	A	no
73	A	no
74	A	no
75	A	no
76	A	no
77	A	no
78	A	no
79	A	no
80	A	no
81	A	no
82	A	no
83	A	no
84	A	no
85	A	no
86	A	no
87	A	no
88	A	no
89	A	no
90	A	no
91	punct	no
92	other	no
93	punct	no
94	punct	no
95	A	no
96	other	no
97	A	no
98	A	no
99	A	no
100	A	no
101	A	no
102	A	no
103	A	no
104	A	no
105	A	no
106	A	no
107	A	no
108	A	no
109	A	no
110	A	no
111	A	no
112	A	no
113	A	no
114	A	no
115	A	no
116	A	no
117	A	no
118	A	no
119	A	no
120	A	no
121	A	no
122	A	no
123	punct	no
124	punct	no
125	punct	no
126	punct	no
127	other	no
128	other	no
129	other	no
130	other	no
131	other	no
132	other	no
133	other	no
134	other	no
135	other	no
136	other	no
137	other	no
138	other	no
139	other	no
140	other	no
141	other	no
142	other	no
143	other	no
144	other	no
145	other	no
146	other	no
147	other	no
148	other	no
149	other	no
150	other	no
151	other	no
152	other	no
153	other	no
154	other	no
155	other	no
156	other	no
157	other	no
158	other	no
159	other	no
160	other	no
161	other	no
162	other	no
163	other	no
164	other	no
165	other	no
166	other	no
167	other	no
168	other	no
169	other	no
170	other	no
171	other	no
172	other	no
173	other	no
174	other	no
175	other	no
176	other	no
177	other	no
178	other	no
179	other	no
180	other	no
181	other	no
182	other	no
183	other	no
184	other	no
185	other	no
186	other	no
187	other	no
188	other	no
189	other	no
190	other	no
191	other	no
192	other	no
193	other	no
194	other	no
195	other	no
196	other	no
197	other	no
198	other	no
199	other	no
200	other	no
201	other	no
202	other	no
203	other	no
204	other	no
205	other	no
206	other	no
207	other	no
208	other	no
209	other	no
210	other	no
211	other	no
212	other	no
213	other	no
214	other	no
215	other	no
216	other	no
217	other	no
218	other	no
219	other	no
220	other	no
221	other	no
222	other	no
223	other	no
224	other	no
225	other	no
226	other	no
227	other	no
228	other	no
229	other	no
230	other	no
231	other	no
232	other	no
233	other	no
234	other	no
235	other	no
236	other	no
237	other	no
238	other	no
239	other	no
240	other	no
241	other	no
242	other	no
243	other	no
244	other	no
245	other	no
246	other	no
247	other	no
248	other	no
249	other	no
250	other	no
251	other	no
252	other	no
253	other	no
254	other	no
255	other	no
eof	eof	no
