# stage lexword: 15 keys, DECLARED here (not exported by gold-export): the identifier spellings the lexer treats specially besides TOKV/TYPEV -- GCC words skipped with their (...) argument or dropped, and the prefixes of a character constant (dropped) and of a string literal (kept).  src/front_pp.c lex(). [E1]
#field	w	__attribute__	__asm__	asm	__extension__	__inline	__inline__	__restrict	__restrict__	__const	__volatile__	__signed__	L	u	U	u8
#head	gcc	-	none	skipparen	drop
#head	pfxch	-	no	yes
#head	pfxstr	-	no	yes
w	=> gcc	=> pfxch	=> pfxstr
__attribute__	skipparen	no	no
__asm__	skipparen	no	no
asm	skipparen	no	no
__extension__	drop	no	no
__inline	drop	no	no
__inline__	drop	no	no
__restrict	drop	no	no
__restrict__	drop	no	no
__const	drop	no	no
__volatile__	drop	no	no
__signed__	drop	no	no
L	none	yes	yes
u	none	yes	yes
U	none	yes	yes
u8	none	yes	yes
