# stage opinfo: 67 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	op	imm	mov	add64	sub64	mul64	xor64	and64	or64	shl64	shr64	lshr64	.div	.mod	.udiv	.umod	slt64	sle64	ult64	ule64	eq	ne	load64	store64	.ld	.st	.lea	.zero	jump	jumpz	call	callr	ret	.frame	.arg	.print	.write	.exit	.sys	.sys6	.argc	.argv	nop	fadd64	fsub64	fmul64	fdiv64	flt64	fle64	feq64	fadd32	fsub32	fmul32	fdiv32	flt32	fle32	feq32	cvtid	cvtud	cvtis	cvtus	cvtdi	cvtdu	cvtsd	cvtds	fsqrt64	fsqrt32	other
#head	simple	-	0	1
#head	acls	-	store64	load64	imm	mov	jump	jumpz	alu	other
#head	bcls	-	store64	load64	imm	mov	jump	jumpz	add64	sub64	mul64	shl64	shr64	lshr64	or64	xor64	and64	other
op	=> simple	=> acls	=> bcls
imm	1	imm	imm
mov	1	mov	mov
add64	1	alu	add64
sub64	1	alu	sub64
mul64	1	alu	mul64
xor64	1	alu	xor64
and64	1	alu	and64
or64	1	alu	or64
shl64	1	alu	shl64
shr64	1	alu	shr64
lshr64	1	alu	lshr64
.div	0	other	other
.mod	0	other	other
.udiv	0	other	other
.umod	0	other	other
slt64	1	alu	other
sle64	1	alu	other
ult64	1	alu	other
ule64	0	other	other
eq	1	alu	other
ne	1	alu	other
load64	1	load64	load64
store64	1	store64	store64
.ld	1	other	other
.st	1	other	other
.lea	1	other	other
.zero	0	other	other
jump	0	jump	jump
jumpz	0	jumpz	jumpz
call	0	other	other
callr	0	other	other
ret	0	other	other
.frame	0	other	other
.arg	0	other	other
.print	0	other	other
.write	0	other	other
.exit	0	other	other
.sys	0	other	other
.sys6	0	other	other
.argc	0	other	other
.argv	0	other	other
nop	0	other	other
fadd64	0	other	other
fsub64	0	other	other
fmul64	0	other	other
fdiv64	0	other	other
flt64	0	other	other
fle64	0	other	other
feq64	0	other	other
fadd32	0	other	other
fsub32	0	other	other
fmul32	0	other	other
fdiv32	0	other	other
flt32	0	other	other
fle32	0	other	other
feq32	0	other	other
cvtid	0	other	other
cvtud	0	other	other
cvtis	0	other	other
cvtus	0	other	other
cvtdi	0	other	other
cvtdu	0	other	other
cvtsd	0	other	other
cvtds	0	other	other
fsqrt64	0	other	other
fsqrt32	0	other	other
other	0	other	other
