# stage parse: 340 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
nt	tok	=> y
top	eof	end
top	type	global
top	id	global
top	num	global
top	str	global
top	if	global
top	else	global
top	while	global
top	for	global
top	do	global
top	switch	global
top	case	global
top	default	global
top	return	global
top	break	global
top	continue	global
top	sizeof	global
top	struct	struct
top	typedef	typedef
top	enum	enum
top	{	global
top	}	global
top	(	global
top	)	global
top	[	global
top	]	global
top	;	global
top	,	global
top	=	global
top	+=	global
top	-=	global
top	*=	global
top	/=	global
top	?	global
top	:	global
top	+	global
top	-	global
top	*	global
top	/	global
top	%	global
top	==	global
top	!=	global
top	<	global
top	>	global
top	<=	global
top	>=	global
top	&&	global
top	||	global
top	!	global
top	&	global
top	++	global
top	--	global
top	.	global
top	->	global
top	goto	global
top	|	global
top	^	global
top	<<	global
top	>>	global
top	union	struct
top	~	global
top	%=	global
top	&=	global
top	|=	global
top	^=	global
top	<<=	global
top	>>=	global
top	...	global
stmt	eof	expr
stmt	type	decl
stmt	id	expr
stmt	num	expr
stmt	str	expr
stmt	if	if
stmt	else	expr
stmt	while	while
stmt	for	for
stmt	do	do
stmt	switch	switch
stmt	case	case
stmt	default	default
stmt	return	return
stmt	break	break
stmt	continue	continue
stmt	sizeof	expr
stmt	struct	decl
stmt	typedef	decl
stmt	enum	decl
stmt	{	block
stmt	}	expr
stmt	(	expr
stmt	)	expr
stmt	[	expr
stmt	]	expr
stmt	;	expr
stmt	,	expr
stmt	=	expr
stmt	+=	expr
stmt	-=	expr
stmt	*=	expr
stmt	/=	expr
stmt	?	expr
stmt	:	expr
stmt	+	expr
stmt	-	expr
stmt	*	expr
stmt	/	expr
stmt	%	expr
stmt	==	expr
stmt	!=	expr
stmt	<	expr
stmt	>	expr
stmt	<=	expr
stmt	>=	expr
stmt	&&	expr
stmt	||	expr
stmt	!	expr
stmt	&	expr
stmt	++	expr
stmt	--	expr
stmt	.	expr
stmt	->	expr
stmt	goto	goto
stmt	|	expr
stmt	^	expr
stmt	<<	expr
stmt	>>	expr
stmt	union	decl
stmt	~	expr
stmt	%=	expr
stmt	&=	expr
stmt	|=	expr
stmt	^=	expr
stmt	<<=	expr
stmt	>>=	expr
stmt	...	expr
unary	eof	prim
unary	type	prim
unary	id	prim
unary	num	prim
unary	str	prim
unary	if	prim
unary	else	prim
unary	while	prim
unary	for	prim
unary	do	prim
unary	switch	prim
unary	case	prim
unary	default	prim
unary	return	prim
unary	break	prim
unary	continue	prim
unary	sizeof	sizeof
unary	struct	prim
unary	typedef	prim
unary	enum	prim
unary	{	prim
unary	}	prim
unary	(	prim
unary	)	prim
unary	[	prim
unary	]	prim
unary	;	prim
unary	,	prim
unary	=	prim
unary	+=	prim
unary	-=	prim
unary	*=	prim
unary	/=	prim
unary	?	prim
unary	:	prim
unary	+	uplus
unary	-	neg
unary	*	deref
unary	/	prim
unary	%	prim
unary	==	prim
unary	!=	prim
unary	<	prim
unary	>	prim
unary	<=	prim
unary	>=	prim
unary	&&	prim
unary	||	prim
unary	!	not
unary	&	addr
unary	++	preinc
unary	--	preinc
unary	.	prim
unary	->	prim
unary	goto	prim
unary	|	prim
unary	^	prim
unary	<<	prim
unary	>>	prim
unary	union	prim
unary	~	bnot
unary	%=	prim
unary	&=	prim
unary	|=	prim
unary	^=	prim
unary	<<=	prim
unary	>>=	prim
unary	...	prim
postfix	eof	done
postfix	type	done
postfix	id	done
postfix	num	done
postfix	str	done
postfix	if	done
postfix	else	done
postfix	while	done
postfix	for	done
postfix	do	done
postfix	switch	done
postfix	case	done
postfix	default	done
postfix	return	done
postfix	break	done
postfix	continue	done
postfix	sizeof	done
postfix	struct	done
postfix	typedef	done
postfix	enum	done
postfix	{	done
postfix	}	done
postfix	(	call
postfix	)	done
postfix	[	index
postfix	]	done
postfix	;	done
postfix	,	done
postfix	=	done
postfix	+=	done
postfix	-=	done
postfix	*=	done
postfix	/=	done
postfix	?	done
postfix	:	done
postfix	+	done
postfix	-	done
postfix	*	done
postfix	/	done
postfix	%	done
postfix	==	done
postfix	!=	done
postfix	<	done
postfix	>	done
postfix	<=	done
postfix	>=	done
postfix	&&	done
postfix	||	done
postfix	!	done
postfix	&	done
postfix	++	inc
postfix	--	inc
postfix	.	field
postfix	->	field
postfix	goto	done
postfix	|	done
postfix	^	done
postfix	<<	done
postfix	>>	done
postfix	union	done
postfix	~	done
postfix	%=	done
postfix	&=	done
postfix	|=	done
postfix	^=	done
postfix	<<=	done
postfix	>>=	done
postfix	...	done
after_name	eof	var_def
after_name	type	var_def
after_name	id	var_def
after_name	num	var_def
after_name	str	var_def
after_name	if	var_def
after_name	else	var_def
after_name	while	var_def
after_name	for	var_def
after_name	do	var_def
after_name	switch	var_def
after_name	case	var_def
after_name	default	var_def
after_name	return	var_def
after_name	break	var_def
after_name	continue	var_def
after_name	sizeof	var_def
after_name	struct	var_def
after_name	typedef	var_def
after_name	enum	var_def
after_name	{	fn_sig
after_name	}	var_def
after_name	(	fn_sig
after_name	)	var_def
after_name	[	var_def
after_name	]	var_def
after_name	;	var_def
after_name	,	var_def
after_name	=	var_def
after_name	+=	var_def
after_name	-=	var_def
after_name	*=	var_def
after_name	/=	var_def
after_name	?	var_def
after_name	:	var_def
after_name	+	var_def
after_name	-	var_def
after_name	*	var_def
after_name	/	var_def
after_name	%	var_def
after_name	==	var_def
after_name	!=	var_def
after_name	<	var_def
after_name	>	var_def
after_name	<=	var_def
after_name	>=	var_def
after_name	&&	var_def
after_name	||	var_def
after_name	!	var_def
after_name	&	var_def
after_name	++	var_def
after_name	--	var_def
after_name	.	var_def
after_name	->	var_def
after_name	goto	var_def
after_name	|	var_def
after_name	^	var_def
after_name	<<	var_def
after_name	>>	var_def
after_name	union	var_def
after_name	~	var_def
after_name	%=	var_def
after_name	&=	var_def
after_name	|=	var_def
after_name	^=	var_def
after_name	<<=	var_def
after_name	>>=	var_def
after_name	...	var_def
