# stage peep: 1632 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	a	store64	load64	imm	mov	jump	jumpz	alu	other
#field	b	store64	load64	imm	mov	jump	jumpz	add64	sub64	mul64	shl64	shr64	lshr64	or64	xor64	and64	other	none
#field	rel	none	same_slot	same_slot_same_reg	const0	const1	pow2	copy_dead	to_next	to_jump	a_dead	dest_to_mov	copy_into
#head	y	-	keep	load_to_mov	drop_b	drop_a	retarget	to_mov	to_shl	fold_imm	retarget_dest	fold_copy
a	b	rel	=> y
store64	store64	none	keep
store64	store64	same_slot	drop_a
store64	store64	same_slot_same_reg	drop_a
store64	store64	const0	keep
store64	store64	const1	keep
store64	store64	pow2	keep
store64	store64	copy_dead	keep
store64	store64	to_next	keep
store64	store64	to_jump	keep
store64	store64	a_dead	keep
store64	store64	dest_to_mov	keep
store64	store64	copy_into	keep
store64	load64	none	keep
store64	load64	same_slot	load_to_mov
store64	load64	same_slot_same_reg	drop_b
store64	load64	const0	keep
store64	load64	const1	keep
store64	load64	pow2	keep
store64	load64	copy_dead	keep
store64	load64	to_next	keep
store64	load64	to_jump	keep
store64	load64	a_dead	keep
store64	load64	dest_to_mov	keep
store64	load64	copy_into	keep
store64	imm	none	keep
store64	imm	same_slot	keep
store64	imm	same_slot_same_reg	keep
store64	imm	const0	keep
store64	imm	const1	keep
store64	imm	pow2	keep
store64	imm	copy_dead	keep
store64	imm	to_next	keep
store64	imm	to_jump	keep
store64	imm	a_dead	keep
store64	imm	dest_to_mov	keep
store64	imm	copy_into	keep
store64	mov	none	keep
store64	mov	same_slot	keep
store64	mov	same_slot_same_reg	keep
store64	mov	const0	keep
store64	mov	const1	keep
store64	mov	pow2	keep
store64	mov	copy_dead	keep
store64	mov	to_next	keep
store64	mov	to_jump	keep
store64	mov	a_dead	keep
store64	mov	dest_to_mov	keep
store64	mov	copy_into	keep
store64	jump	none	keep
store64	jump	same_slot	keep
store64	jump	same_slot_same_reg	keep
store64	jump	const0	keep
store64	jump	const1	keep
store64	jump	pow2	keep
store64	jump	copy_dead	keep
store64	jump	to_next	keep
store64	jump	to_jump	keep
store64	jump	a_dead	keep
store64	jump	dest_to_mov	keep
store64	jump	copy_into	keep
store64	jumpz	none	keep
store64	jumpz	same_slot	keep
store64	jumpz	same_slot_same_reg	keep
store64	jumpz	const0	keep
store64	jumpz	const1	keep
store64	jumpz	pow2	keep
store64	jumpz	copy_dead	keep
store64	jumpz	to_next	keep
store64	jumpz	to_jump	keep
store64	jumpz	a_dead	keep
store64	jumpz	dest_to_mov	keep
store64	jumpz	copy_into	keep
store64	add64	none	keep
