# stage scope: 30 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
ctx	kind	=> y
top	type_kw	type_name
top	id	bind_global
top	typedef_id	type_name
top	star	lookup
top	lparen	fn_name
param	type_kw	lookup
param	id	bind_param
param	typedef_id	lookup
param	star	lookup
param	lparen	lookup
local	type_kw	type_name
local	id	bind_local
local	typedef_id	type_name
local	star	lookup
local	lparen	lookup
expr	type_kw	lookup
expr	id	lookup
expr	typedef_id	lookup
expr	star	lookup
expr	lparen	lookup
sizeof	type_kw	type_name
sizeof	id	lookup
sizeof	typedef_id	type_name
sizeof	star	lookup
sizeof	lparen	lookup
field	type_kw	lookup
field	id	field
field	typedef_id	lookup
field	star	lookup
field	lparen	lookup
