# stage type: 4275 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
t1	op	t2	=> y
void	+	void	illegal
void	+	i8	illegal
void	+	i16	illegal
void	+	i32	illegal
void	+	i64	illegal
void	+	u8	illegal
void	+	u16	illegal
void	+	u32	illegal
void	+	u64	illegal
void	+	ptr	illegal
void	+	arr	illegal
void	+	struct	illegal
void	+	fn	illegal
void	+	f32	illegal
void	+	f64	illegal
void	-	void	illegal
void	-	i8	illegal
void	-	i16	illegal
void	-	i32	illegal
void	-	i64	illegal
void	-	u8	illegal
void	-	u16	illegal
void	-	u32	illegal
void	-	u64	illegal
void	-	ptr	illegal
void	-	arr	illegal
void	-	struct	illegal
void	-	fn	illegal
void	-	f32	illegal
void	-	f64	illegal
void	*	void	illegal
void	*	i8	illegal
void	*	i16	illegal
void	*	i32	illegal
void	*	i64	illegal
void	*	u8	illegal
void	*	u16	illegal
void	*	u32	illegal
void	*	u64	illegal
void	*	ptr	illegal
void	*	arr	illegal
void	*	struct	illegal
void	*	fn	illegal
void	*	f32	illegal
void	*	f64	illegal
void	/	void	illegal
void	/	i8	illegal
void	/	i16	illegal
void	/	i32	illegal
void	/	i64	illegal
void	/	u8	illegal
void	/	u16	illegal
void	/	u32	illegal
void	/	u64	illegal
void	/	ptr	illegal
void	/	arr	illegal
void	/	struct	illegal
void	/	fn	illegal
void	/	f32	illegal
void	/	f64	illegal
void	%	void	illegal
void	%	i8	illegal
void	%	i16	illegal
void	%	i32	illegal
void	%	i64	illegal
void	%	u8	illegal
void	%	u16	illegal
void	%	u32	illegal
void	%	u64	illegal
void	%	ptr	illegal
void	%	arr	illegal
void	%	struct	illegal
void	%	fn	illegal
void	%	f32	illegal
void	%	f64	illegal
void	<	void	i32
void	<	i8	i32
void	<	i16	i32
void	<	i32	i32
void	<	i64	i32
void	<	u8	i32
void	<	u16	i32
void	<	u32	i32
void	<	u64	i32
void	<	ptr	i32
void	<	arr	i32
void	<	struct	i32
void	<	fn	i32
void	<	f32	illegal
void	<	f64	illegal
void	==	void	i32
void	==	i8	i32
void	==	i16	i32
void	==	i32	i32
void	==	i64	i32
void	==	u8	i32
void	==	u16	i32
void	==	u32	i32
void	==	u64	i32
void	==	ptr	i32
void	==	arr	i32
void	==	struct	i32
void	==	fn	i32
void	==	f32	illegal
void	==	f64	illegal
void	=	void	void
void	=	i8	void
void	=	i16	void
void	=	i32	void
void	=	i64	void
void	=	u8	void
void	=	u16	void
void	=	u32	void
void	=	u64	void
void	=	ptr	void
void	=	arr	void
void	=	struct	void
void	=	fn	void
void	=	f32	void
void	=	f64	void
